Week,Fecha Act,SumaDeBEGINNER NAV,SumaDeCLOSE TRADE,SumaDeNET LIQUID VALUE,SumaDeLIQUIDACION,SumaDeCASH NAV,SumaDeOPEN CASH FLOW,SumaDeFREE CASH,SumaDeTRADING,Fondo,CloseTrade_BRUTO
Week Aug 25 to 29,2025-09-01,10584871.0,2369844.0,11831169.0,0.0,12684162.0,852993.0,4020514.0,7810656.0,ESP,
Week Sep 1 to 5,2025-09-04,10614372.0,2369844.0,11856670.0,0.0,12709663.0,852993.0,4046015.0,7810656.0,ESP,
Week Sep 8 to 12,2025-09-12,10614372.0,2369844.0,11856670.0,0.0,12709663.0,852993.0,4046015.0,7810656.0,ESP,
Week Sep 15 to 19,2025-09-18,10630422.0,2369844.0,11867620.0,0.0,12720613.0,852993.0,4056965.0,7810656.0,ESP,
Week Sep 22 to 26,2025-09-25,10858917.0,2369844.0,12096115.0,0.0,12949108.0,852993.0,4285460.0,7810656.0,ESP,
Week Sep 29 to 3,2025-10-03,11100412.0,2369844.0,12328284.0,0.0,13181277.0,852993.0,4517629.0,7810656.0,ESP,
Week Oct 6 to 10,2025-10-10,11100412.0,2369844.0,12274984.0,0.0,13127977.0,852993.0,4464329.0,7810656.0,ESP,
Week Oct 13 to 17,2025-10-16,11228717.0,2369844.0,12381637.0,0.0,13234630.0,852993.0,4570982.0,7810656.0,ESP,
Week Oct 20 to 24,2025-10-24,11311717.0,2369844.0,12449518.0,0.0,13302511.0,852993.0,4638863.0,7810656.0,ESP,
Week Oct 27 to 31,2025-10-31,11522554.0,2369844.0,12660355.0,0.0,13513348.0,852993.0,4849700.0,7810656.0,ESP,
Week Nov 3 to 7,2025-11-07,11588294.0,2369844.0,12725709.0,0.0,13578702.0,852993.0,4915054.0,7810656.0,ESP,
Week Nov 10 to 14,2025-11-13,11822159.0,2369844.0,12941560.0,0.0,13794553.0,852993.0,5130905.0,7810656.0,ESP,
Week Nov 17 to 21,2025-11-20,11871691.0,2369844.0,12991092.0,0.0,13871297.0,880205.0,4461973.0,8529120.0,ESP,
Week Nov 24 to 28,2025-11-28,11871691.0,2369844.0,12988092.0,0.0,13991014.0,1002922.0,974227.0,12013875.1593323,ESP,
Week Dic 1 to 5,2025-12-05,11940856.0,2369844.0,13054257.0,0.0,14057179.0,1002922.0,1040392.0,12013875.1593323,ESP,
Week Dic 8 to 12,2025-12-12,11940856.0,2369844.0,13054257.0,0.0,14057179.0,1002922.0,1040392.0,12013875.1593323,ESP,
Week Dic 15 to 19,2025-12-19,11940856.0,2369844.0,13053257.0,0.0,14056179.0,1002922.0,1039392.0,12013875.1593323,ESP,
Week Dic 22 to 26,2025-12-26,11940856.0,2369844.0,13016978.0,0.0,14434749.0,1417771.0,1003113.0,12013873.0,ESP,
Week Dic 29 to 2,2026-01-02,11924566.0,2369844.0,13018688.0,0.0,14436459.0,1417771.0,1004823.0,12013873.0,ESP,
Week Jan 5 to 9,2026-01-08,11957906.0,2369844.0,13052028.0,0.0,14469799.0,1417771.0,1038163.0,12013873.0,ESP,
Week Jan 12 to 16,2026-01-16,12000406.0,2369844.0,13094528.0,,14512299.0,1417771.0,1080663.0,12013873.0,ESP,3181854.74954224
Week Jan 19 to 23,2026-01-23,12082406.0,3787615.0,14467495.0,,14467495.0,0.0,14467495.0,0.0,ESP,5063351.47180176
Week Jan 26 to 30,2026-01-30,12082406.0,3787615.0,14334256.0,,14334256.0,0.0,14334256.0,0.0,ESP,5063351.47180176
Week Feb 2 to 6,2026-02-06,12100871.0,3787615.0,14340838.0,,14340838.0,0.0,14340838.0,0.0,ESP,5062960.57495117
Week Feb 9 to 13,2026-02-13,12100871.0,3787615.0,14289602.0,,14289602.0,0.0,14289602.0,0.0,ESP,5062960.57495117
Week Feb 16 to 20,2026-02-20,12100871.0,3787615.0,14289602.0,,14289602.0,0.0,14289602.0,0.0,ESP,5062960.57495117
Week Sept 1 to 2,2022-09-02,5041715.5,2809591.0,7360302.5,6356.0,9098600.0,1737053.0,178233.0,7191065.0,INCUBATOR,
Week Sept 5 to 9,2022-09-09,4836141.5,2616710.0,6936847.5,20000.0,8527018.0,1588926.0,223739.0,6722104.0,INCUBATOR,
Week Sept 12 to 16,2022-09-15,4836141.5,2616710.0,6936847.5,626.0,8527018.0,1588926.0,223739.0,6722104.0,INCUBATOR,
Week Sept 19 to 23,2022-09-23,4874514.5,2833581.0,7192717.5,5500.0,8565391.0,1372057.0,1394227.0,5798494.0,INCUBATOR,
Week Sept 26 to 30,2022-09-30,4941514.5,2833581.0,7266759.5,8042.0,8650018.0,1382642.0,1468269.0,5798494.0,INCUBATOR,
Week Oct 3 to 7,2022-10-07,5029282.5,2833581.0,7348297.5,-1730.0,8731556.0,1382642.0,1549807.0,5798494.0,INCUBATOR,
Week Oct 10 a 14,2022-10-14,5071332.5,2833581.0,7377579.5,7500.0,8760838.0,1382642.0,1579089.0,5798494.0,INCUBATOR,
Week Oct 17 to 21,2022-10-21,5195850.5,2833581.0,7505597.5,50000.0,8888177.0,1382642.0,1707107.0,5798494.0,INCUBATOR,
Week Oct 24 to 28,2022-10-28,5225753.5,3153142.0,7839158.5,9904.0,8911349.0,1073522.0,3391941.0,4447215.0,INCUBATOR,
Week Oct 31 to 4,2022-11-04,5227485.5,3153142.0,7833158.5,-6000.0,8901349.0,1072843.0,3391486.0,4441670.0,INCUBATOR,
